CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
AE 700,Guidance & Control of Unmanned Autonomous Vehicles,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
AE 702,Advanced Flight Dynamics,6,prerequiste,AE 305 OR AE 717 OR AE 341,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 705,Introduction to Flight,6,equivalent,AE 152 OR AE 153,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 707,Aerodynamics of Aerospace Vehicles,6,equivalent,AE 333,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 708,Aerospace Propulsion,6,equivalent,AE 330,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- IDDDP
- M.Tech.
- Ph.D.
",Not Required,,
AE 711,Aircraft Propulsion,6,equivalent,AE 234,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 714,Aircraft Design,6,equivalent,AE 332,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 715,Structural Dynamics,6,equivalent,AE 326 OR CE 462,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 717,Aircraft Flight Dynamics,6,equivalent,AE 305,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 718,Hydrodynamic Stability Theory,6,equivalent,ME 783,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 720,Advanced Numerical Methods for Compressible Flows,6,prerequiste,( AE 339 OR AE 616 ) AND AE 706,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 724,Experimental Methods in Fluid Mechanics,6,prerequiste,AE 225 OR ME 219,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 726,Heat Transfer - Aerospace Applications,6,prerequiste,AE 223 OR ME 209,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 726,Heat Transfer - Aerospace Applications,6,equivalent,ME 663,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Tech. + Ph.D.)
- M.Tech.
- Ph.D.
",Not Required,,
AE 736,Advanced Aeroelasticity,6,prerequiste,AE 678,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 755,Optimization for Engineering Design,6,equivalent,CE 771 OR CL 603 OR ME 782,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 775,"System Modelling, Dynamics and Control",6,equivalent,AE 308,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 777,Dynamics and Bifurcations,6,equivalent,ME 621,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 777,Dynamics and Bifurcations,6,equivalent,AE 454,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Tech. + Ph.D.)
- M.Tech.
- Ph.D.
",Not Required,,
AE 780,Computational Heat Transfer and Fluid Flow,6,equivalent,ME 415,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 780,Computational Heat Transfer and Fluid Flow,6,prerequiste,AE 726 OR ME 663,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE6103,Introduction to Space Technology,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
